Company,LTP (₹),1D Return %,Market Cap (Cr),52W High / Low (₹),Volume
Dalmia Bharat Ltd.,"1,956.55",+1.21,"36,695","2,430.70/1,651.40","4,36,878"
Syngene International Ltd.,909.25,+1.21,"36,601",945.25/607.65,"3,75,115"
LIC Housing Finance Ltd.,659.25,-0.48,"36,263",826.75/432.00,"10,14,301"
JK Cement Ltd.,"4,621.55",-0.47,"35,710","4,895.50/3,052.65","36,812"
Godfrey Phillips India Ltd.,"6,819.30",-2.27,"35,456","8,480.00/1,992.10","56,736"
Star Health And Allied Insurance Company Ltd.,604.95,-0.35,"35,418",647.00/454.80,"3,66,410"
Kaynes Technology India Ltd.,"5,466.40",+0.75,"34,991","5,810.00/2,158.00","3,53,149"
Apollo Tyres Ltd.,550.75,+0.53,"34,978",584.90/366.00,"12,85,872"
Brigade Enterprises Ltd.,"1,431.15",+1.00,"34,952","1,453.10/568.05","3,52,447"
Metro Brands Ltd.,"1,283.20",+0.59,"34,896","1,441.20/990.05","68,341"
Go Digit General Insurance Ltd.,379.30,+0.69,"34,789",407.40/278.55,"4,61,644"
Tata Investment Corporation Ltd.,"6,818.95",+0.16,"34,501","9,756.85/2,885.00","14,136"
BASF India Ltd.,"7,916.15",+7.19,"34,266","8,246.00/2,430.00","4,26,550"
Crisil Ltd.,"4,644.50",-0.39,"33,965","5,268.50/3,660.70","19,767"
Hindustan Copper Ltd.,349.10,+1.51,"33,759",415.80/135.65,"73,94,842"
Endurance Technologies Ltd.,"2,396.05",-0.20,"33,704","3,061.30/1,540.05","3,37,540"
Brainbees Solutions Ltd.,646.20,+0.34,"33,550",707.70/465.00,"14,62,403"
Sun TV Network Ltd.,849.65,+1.99,"33,483",921.00/567.60,"4,76,072"
Vedant Fashions Ltd.,"1,357.50",+0.53,"32,975","1,487.90/886.05","84,814"
Himadri Speciality Chemical Ltd.,667.60,+0.90,"32,956",688.70/224.00,"24,43,321"
Emami Ltd.,753.65,-1.64,"32,897",860.00/417.10,"4,69,816"
KPR Mill Ltd.,960.75,+0.71,"32,840","1,053.00/710.00","1,65,947"
NBCC (India) Ltd.,180.19,+0.50,"32,434",209.75/56.85,"78,53,551"
Century Textiles & Industries Ltd.,"2,890.80",+1.43,"32,289","2,936.45/1,046.45","5,06,273"
Mangalore Refinery And Petrochemicals Ltd.,180.90,-0.70,"31,705",289.25/90.50,"21,25,412"
Bandhan Bank Ltd.,195.28,-1.74,"31,459",263.10/169.15,"1,34,72,976"
Inox Wind Ltd.,239.27,+0.75,"31,196",261.90/47.25,"42,42,580"
Poonawalla Fincorp Ltd.,400.90,+1.64,"31,180",519.70/336.30,"21,33,464"
Delhivery Ltd.,419.35,-1.33,"31,034",488.00/354.20,"22,32,403"
Motherson Sumi Wiring India Ltd.,70.18,-1.46,"31,027",80.00/57.85,"76,24,525"
Authum Investment & Infrastructure Ltd.,"1,824.45",+1.96,"30,987","1,830.00/732.20","1,28,322"
Suven Pharmaceuticals Ltd.,"1,202.65",+2.53,"30,615","1,287.90/541.00","2,05,612"
ZF Commercial Vehicle Control Systems India Ltd.,"16,107.35",+1.38,"30,552","18,250.00/12,975.00","3,975"
Piramal Pharma Ltd.,228.81,-0.09,"30,334",243.99/87.50,"45,32,552"
Central Depository Services (India) Ltd.,"1,436.65",-0.03,"30,026","1,664.40/631.00","19,68,977"
Multi Commodity Exchange Of India Ltd.,"5,828.60",+2.97,"29,725","6,035.45/1,913.15","3,59,425"
Gland Pharma Ltd.,"1,800.80",+0.27,"29,668","2,220.95/1,475.05","2,08,920"
Bayer Cropscience Ltd.,"6,600.00",+2.94,"29,662","7,196.85/4,812.90","94,078"
Sundram Fasteners Ltd.,"1,401.90",+2.16,"29,458","1,505.95/1,003.05","51,809"
Whirlpool Of India Ltd.,"2,284.35",-0.23,"28,982","2,340.80/1,186.10","4,52,447"
Tata Chemicals Ltd.,"1,132.60",+3.80,"28,854","1,349.00/933.00","37,81,132"
ICICI Securities Ltd.,889.85,+1.94,"28,832",922.45/608.00,"9,66,022"
Timken India Ltd.,"3,796.35",+0.94,"28,556","4,817.90/2,524.50","33,583"
Dr. Lal Pathlabs Ltd.,"3,415.65",+3.42,"28,546","3,459.40/1,943.70","1,12,120"
J B Chemicals & Pharmaceuticals Ltd.,"1,834.95",-2.14,"28,499","2,030.00/1,244.45","1,40,665"
Emcure Pharmaceuticals Ltd.,"1,495.50",+1.78,"28,280","1,580.00/1,008.00","91,225"
Sumitomo Chemical India Ltd.,565.70,+1.60,"28,237",628.30/336.10,"7,28,278"
Carborundum Universal Ltd.,"1,469.85",-1.91,"27,972","1,841.15/1,025.60","1,14,116"
KEC International Ltd.,"1,050.75",+1.17,"27,971","1,068.00/550.05","6,57,374"
TVS Holdings Ltd.,"13,805.25",-3.50,"27,931","15,137.45/5,162.65","10,243"
